WEEK,UNIQUE_TOKEN_PAIRS
2022-06-06 00:00:00.000,5109
2022-06-13 00:00:00.000,5750
2022-06-20 00:00:00.000,5424
2022-06-27 00:00:00.000,5805
2022-07-04 00:00:00.000,6233
2022-07-11 00:00:00.000,6234
2022-07-18 00:00:00.000,7128
2022-07-25 00:00:00.000,7099
2022-08-01 00:00:00.000,7135
2022-08-08 00:00:00.000,7082
2022-08-15 00:00:00.000,7060
2022-08-22 00:00:00.000,6851
2022-08-29 00:00:00.000,6562
2022-09-05 00:00:00.000,6985
2022-09-12 00:00:00.000,7169
2022-09-19 00:00:00.000,7394
2022-09-26 00:00:00.000,7420
2022-10-03 00:00:00.000,7454
2022-10-10 00:00:00.000,7008
2022-10-17 00:00:00.000,7690
2022-10-24 00:00:00.000,8598
2022-10-31 00:00:00.000,7852
2022-11-07 00:00:00.000,7115
2022-11-14 00:00:00.000,7416
2022-11-21 00:00:00.000,7547
2022-11-28 00:00:00.000,7544
2022-12-05 00:00:00.000,7330
2022-12-12 00:00:00.000,7401
2022-12-19 00:00:00.000,7333
2022-12-26 00:00:00.000,7892
2023-01-02 00:00:00.000,7602
2023-01-09 00:00:00.000,7794
2023-01-16 00:00:00.000,7627
2023-01-23 00:00:00.000,7563
2023-01-30 00:00:00.000,7642
2023-02-06 00:00:00.000,7430
2023-02-13 00:00:00.000,7190
2023-02-20 00:00:00.000,6974
2023-02-27 00:00:00.000,7217
2023-03-06 00:00:00.000,7193
2023-03-13 00:00:00.000,8192
2023-03-20 00:00:00.000,8292
2023-03-27 00:00:00.000,7866
2023-04-03 00:00:00.000,7695
2023-04-10 00:00:00.000,7979
2023-04-17 00:00:00.000,8383
2023-04-24 00:00:00.000,8993
2023-05-01 00:00:00.000,8554
2023-05-08 00:00:00.000,10008
2023-05-15 00:00:00.000,10614
2023-05-22 00:00:00.000,10661
2023-05-29 00:00:00.000,10651
2023-06-05 00:00:00.000,10817
2023-06-12 00:00:00.000,10243
2023-06-19 00:00:00.000,10602
2023-06-26 00:00:00.000,10704
2023-07-03 00:00:00.000,10643
2023-07-10 00:00:00.000,11316
2023-07-17 00:00:00.000,10780
2023-07-24 00:00:00.000,10643
2023-07-31 00:00:00.000,11125
2023-08-07 00:00:00.000,10935
2023-08-14 00:00:00.000,10947
2023-08-21 00:00:00.000,10602
2023-08-28 00:00:00.000,10604
2023-09-04 00:00:00.000,10879
2023-09-11 00:00:00.000,10938
2023-09-18 00:00:00.000,11263
2023-09-25 00:00:00.000,11269
2023-10-02 00:00:00.000,11966
2023-10-09 00:00:00.000,11472
2023-10-16 00:00:00.000,11066
2023-10-23 00:00:00.000,10458
2023-10-30 00:00:00.000,10225
2023-11-06 00:00:00.000,9924
2023-11-13 00:00:00.000,10276
2023-11-20 00:00:00.000,10035
2023-11-27 00:00:00.000,10074
2023-12-04 00:00:00.000,10298
2023-12-11 00:00:00.000,9498
2023-12-18 00:00:00.000,9839
2023-12-25 00:00:00.000,11275
2024-01-01 00:00:00.000,10880
2024-01-08 00:00:00.000,10384
2024-01-15 00:00:00.000,10650
2024-01-22 00:00:00.000,11068
2024-01-29 00:00:00.000,10419
2024-02-05 00:00:00.000,10326
2024-02-12 00:00:00.000,11206
2024-02-19 00:00:00.000,10736
2024-02-26 00:00:00.000,10557
2024-03-04 00:00:00.000,11209
2024-03-11 00:00:00.000,12475
2024-03-18 00:00:00.000,14774
2024-03-25 00:00:00.000,16517
2024-04-01 00:00:00.000,18566
2024-04-08 00:00:00.000,19184
2024-04-15 00:00:00.000,19882
2024-04-22 00:00:00.000,20115
2024-04-29 00:00:00.000,20269
2024-05-06 00:00:00.000,20439
2024-05-13 00:00:00.000,19152
2024-05-20 00:00:00.000,19420
2024-05-27 00:00:00.000,19307
2024-06-03 00:00:00.000,20799
2024-06-10 00:00:00.000,21296
2024-06-17 00:00:00.000,21728
2024-06-24 00:00:00.000,21610
2024-07-01 00:00:00.000,21752
2024-07-08 00:00:00.000,21491
2024-07-15 00:00:00.000,19775
2024-07-22 00:00:00.000,20709
2024-07-29 00:00:00.000,48633
2024-08-05 00:00:00.000,24020
2024-08-12 00:00:00.000,18886
2024-08-19 00:00:00.000,19463
2024-08-26 00:00:00.000,19410
2024-09-02 00:00:00.000,17976
2024-09-09 00:00:00.000,18045
