WEEK,BLOCKCHAIN,NEW_TOKENS,CUMU_NEW_TOKENS
2022-12-26 00:00:00.000,arbitrum,7,384
2022-12-26 00:00:00.000,ethereum,641,59186
2022-12-26 00:00:00.000,optimism,2,179
2022-12-26 00:00:00.000,polygon,24,1894
2023-01-02 00:00:00.000,arbitrum,14,398
2023-01-02 00:00:00.000,ethereum,988,60174
2023-01-02 00:00:00.000,optimism,1,180
2023-01-02 00:00:00.000,polygon,20,1914
2023-01-09 00:00:00.000,arbitrum,12,410
2023-01-09 00:00:00.000,ethereum,792,60966
2023-01-09 00:00:00.000,optimism,2,182
2023-01-09 00:00:00.000,polygon,45,1959
2023-01-16 00:00:00.000,arbitrum,8,418
2023-01-16 00:00:00.000,ethereum,682,61648
2023-01-16 00:00:00.000,optimism,3,185
2023-01-16 00:00:00.000,polygon,26,1985
2023-01-23 00:00:00.000,arbitrum,13,431
2023-01-23 00:00:00.000,ethereum,671,62319
2023-01-23 00:00:00.000,optimism,1,186
2023-01-23 00:00:00.000,polygon,21,2006
2023-01-30 00:00:00.000,arbitrum,38,469
2023-01-30 00:00:00.000,ethereum,826,63145
2023-01-30 00:00:00.000,optimism,4,190
2023-01-30 00:00:00.000,polygon,28,2034
2023-02-06 00:00:00.000,arbitrum,25,494
2023-02-06 00:00:00.000,ethereum,769,63914
2023-02-06 00:00:00.000,optimism,5,195
2023-02-06 00:00:00.000,polygon,18,2052
2023-02-13 00:00:00.000,arbitrum,31,525
2023-02-13 00:00:00.000,ethereum,613,64527
2023-02-13 00:00:00.000,optimism,3,198
2023-02-13 00:00:00.000,polygon,15,2067
2023-02-20 00:00:00.000,arbitrum,25,550
2023-02-20 00:00:00.000,ethereum,484,65011
2023-02-20 00:00:00.000,optimism,7,205
2023-02-20 00:00:00.000,polygon,18,2085
2023-02-27 00:00:00.000,arbitrum,40,590
2023-02-27 00:00:00.000,ethereum,657,65668
2023-02-27 00:00:00.000,optimism,5,210
2023-02-27 00:00:00.000,polygon,20,2105
2023-03-06 00:00:00.000,arbitrum,18,608
2023-03-06 00:00:00.000,bsc,3,3
2023-03-06 00:00:00.000,ethereum,630,66298
2023-03-06 00:00:00.000,optimism,3,213
2023-03-06 00:00:00.000,polygon,27,2132
2023-03-13 00:00:00.000,arbitrum,44,652
2023-03-13 00:00:00.000,bsc,95,98
2023-03-13 00:00:00.000,ethereum,808,67106
2023-03-13 00:00:00.000,optimism,2,215
2023-03-13 00:00:00.000,polygon,25,2157
