DATE,UNIQUE_TOKEN_COUNT,AVG_TX_FEE_USD,AVG_ETH_PRICE
2020-12-03 00:00:00.000,1776,5.293007813,605.001362081
2020-12-04 00:00:00.000,1682,5.690147356,599.028806784
2020-12-05 00:00:00.000,1783,4.086721597,586.67224134
2020-12-06 00:00:00.000,1790,4.058314282,595.719676075
2020-12-07 00:00:00.000,1736,5.162472883,594.302884709
2020-12-08 00:00:00.000,1683,7.117603299,580.436406117
2020-12-09 00:00:00.000,1728,6.531136231,559.350843045
2020-12-10 00:00:00.000,1714,6.528400119,562.787002439
2020-12-11 00:00:00.000,1728,7.035524289,547.212808744
2020-12-12 00:00:00.000,1779,4.74536841,557.989487682
2020-12-13 00:00:00.000,1808,5.343731467,580.913982881
2020-12-14 00:00:00.000,1750,6.951997276,584.322528585
2020-12-15 00:00:00.000,1665,9.994330574,587.999559344
2020-12-16 00:00:00.000,1741,9.287610655,602.436378424
2020-12-17 00:00:00.000,1599,17.146949541,651.232483213
2020-12-18 00:00:00.000,1818,9.054111122,645.959538121
2020-12-19 00:00:00.000,1851,8.070690583,656.291443562
2020-12-20 00:00:00.000,1912,5.8942123,649.232601525
2020-12-21 00:00:00.000,1746,9.643898643,623.732684594
2020-12-22 00:00:00.000,1793,7.981426023,614.355212256
2020-12-23 00:00:00.000,1641,12.674843111,613.468877768
2020-12-24 00:00:00.000,1705,9.469545569,586.616789663
2020-12-25 00:00:00.000,1663,11.469040775,616.185725878
2020-12-26 00:00:00.000,1759,8.224510874,631.064686872
2020-12-27 00:00:00.000,1751,11.909591842,660.363730197
2020-12-28 00:00:00.000,1778,14.581668933,725.72890165
2020-12-29 00:00:00.000,1739,12.879881728,720.101679828
2020-12-30 00:00:00.000,1690,14.699050364,735.138094921
2020-12-31 00:00:00.000,1733,13.401298155,742.608528268
2021-01-01 00:00:00.000,1796,9.284774539,736.666896051
2021-01-02 00:00:00.000,1707,13.353766285,747.838096581
2021-01-03 00:00:00.000,1717,23.538890953,840.652657767
2021-01-04 00:00:00.000,1561,40.818961666,1011.295335495
2021-01-05 00:00:00.000,1644,26.054150246,1052.695015839
2021-01-06 00:00:00.000,1687,25.471261604,1134.438528469
2021-01-07 00:00:00.000,1677,31.699737126,1216.274682009
2021-01-08 00:00:00.000,1610,30.977814768,1204.955658082
2021-01-09 00:00:00.000,1756,20.811908996,1221.385680223
2021-01-10 00:00:00.000,1850,22.216730996,1304.279513297
2021-01-11 00:00:00.000,1455,46.378905752,1085.878408416
2021-01-12 00:00:00.000,1691,18.71995597,1086.22243784
2021-01-13 00:00:00.000,1743,15.153806994,1067.338848514
2021-01-14 00:00:00.000,1689,18.591128736,1169.0816944
2021-01-15 00:00:00.000,1665,19.923903561,1189.340960504
2021-01-16 00:00:00.000,1705,18.290332834,1213.434965423
2021-01-17 00:00:00.000,1792,14.316295027,1227.086743481
2021-01-18 00:00:00.000,1716,17.087631673,1227.086856056
2021-01-19 00:00:00.000,1674,25.060167091,1360.329059739
2021-01-20 00:00:00.000,1651,20.094302615,1334.350274868
2021-01-21 00:00:00.000,1526,26.501428708,1262.657619028
2021-01-22 00:00:00.000,1485,27.884758708,1198.561813763
2021-01-23 00:00:00.000,1604,19.148432579,1242.494726242
2021-01-24 00:00:00.000,1659,20.603555497,1313.442161597
2021-01-25 00:00:00.000,1610,27.984930343,1406.324156229
2021-01-26 00:00:00.000,1601,21.735241052,1323.2458851
2021-01-27 00:00:00.000,1625,23.374543108,1292.207507497
2021-01-28 00:00:00.000,1626,23.579412864,1306.782006208
2021-01-29 00:00:00.000,1533,33.631253294,1360.461316333
2021-01-30 00:00:00.000,1596,28.161038349,1362.277170322
2021-01-31 00:00:00.000,1605,31.41376467,1340.017661558
2021-02-01 00:00:00.000,1531,34.972811168,1320.90530565
2021-02-02 00:00:00.000,1593,42.718182383,1434.774031169
2021-02-03 00:00:00.000,1578,46.449132986,1567.686226495
2021-02-04 00:00:00.000,1435,69.010148233,1644.464669106
2021-02-05 00:00:00.000,1435,70.922675332,1675.723953019
2021-02-06 00:00:00.000,1561,53.921200766,1694.872905485
2021-02-07 00:00:00.000,1639,46.727763835,1607.639050487
2021-02-08 00:00:00.000,1534,59.507286052,1656.506509411
2021-02-09 00:00:00.000,1536,68.391400042,1752.119389557
2021-02-10 00:00:00.000,1474,63.669870018,1766.392926389
2021-02-11 00:00:00.000,1600,54.407323796,1767.226452801
2021-02-12 00:00:00.000,1587,54.484299269,1795.871860884
2021-02-13 00:00:00.000,1566,56.075418101,1821.82279539
2021-02-14 00:00:00.000,1650,44.708890548,1825.040923651
2021-02-15 00:00:00.000,1604,54.366376271,1782.251850395
2021-02-16 00:00:00.000,1588,50.268323236,1781.524711165
2021-02-17 00:00:00.000,1622,54.43002594,1802.985387786
2021-02-18 00:00:00.000,1639,60.30915398,1908.808971084
2021-02-19 00:00:00.000,1597,62.672483932,1935.111524852
2021-02-20 00:00:00.000,1617,67.358975336,1993.139607163
2021-02-21 00:00:00.000,1632,49.165103015,1945.982039087
2021-02-22 00:00:00.000,1534,78.601149547,1811.353431636
2021-02-23 00:00:00.000,1370,103.139387548,1577.912799499
2021-02-24 00:00:00.000,1522,55.666384425,1630.69507138
2021-02-25 00:00:00.000,1537,45.612503721,1610.563678948
2021-02-26 00:00:00.000,1556,41.446870742,1486.923154538
2021-02-27 00:00:00.000,1609,31.74236174,1484.819960035
2021-02-28 00:00:00.000,1667,29.553217324,1384.881068721
2021-03-01 00:00:00.000,1648,32.399409071,1493.037033053
2021-03-02 00:00:00.000,1652,35.226200116,1543.063419222
2021-03-03 00:00:00.000,1648,35.80150696,1576.270471333
2021-03-04 00:00:00.000,1682,31.425084964,1561.146438347
2021-03-05 00:00:00.000,1601,34.621454102,1494.365665988
2021-03-06 00:00:00.000,1754,27.535927727,1571.467931436
2021-03-07 00:00:00.000,1626,36.44673229,1666.417771664
2021-03-08 00:00:00.000,1643,39.51383595,1731.427630559
2021-03-09 00:00:00.000,1682,42.946366536,1828.484184573
2021-03-10 00:00:00.000,1677,41.612657942,1826.553821322
2021-03-11 00:00:00.000,1678,41.178449493,1794.317238163
2021-03-12 00:00:00.000,1597,50.009541295,1786.090687183
2021-03-13 00:00:00.000,1635,50.014413309,1837.176105875
2021-03-14 00:00:00.000,1732,46.131750554,1885.983401414
2021-03-15 00:00:00.000,1635,53.923171661,1812.889130281
2021-03-16 00:00:00.000,1676,53.868332037,1783.551779557
2021-03-17 00:00:00.000,1680,55.88680291,1784.957661926
2021-03-18 00:00:00.000,1731,52.788681358,1810.587095795
2021-03-19 00:00:00.000,1846,47.068661808,1804.885150641
2021-03-20 00:00:00.000,1836,42.725540099,1834.556492183
2021-03-21 00:00:00.000,1840,40.780052813,1788.111592787
2021-03-22 00:00:00.000,1737,52.818558777,1773.505726898
2021-03-23 00:00:00.000,1821,45.36865637,1692.475025559
2021-03-24 00:00:00.000,1804,49.459482352,1681.754535349
2021-03-25 00:00:00.000,1767,46.984673775,1595.066423521
2021-03-26 00:00:00.000,1850,39.771266212,1637.208084216
