WEEK,BLOCKCHAIN,UNIQUE_TOKEN_COUNT
2022-07-04 00:00:00.000,polygon,396
2022-07-11 00:00:00.000,arbitrum,85
2022-07-11 00:00:00.000,ethereum,4659
2022-07-11 00:00:00.000,optimism,63
2022-07-11 00:00:00.000,polygon,416
2022-07-18 00:00:00.000,arbitrum,94
2022-07-18 00:00:00.000,ethereum,5411
2022-07-18 00:00:00.000,optimism,69
2022-07-18 00:00:00.000,polygon,428
2022-07-25 00:00:00.000,arbitrum,95
2022-07-25 00:00:00.000,ethereum,5429
2022-07-25 00:00:00.000,optimism,71
2022-07-25 00:00:00.000,polygon,423
2022-08-01 00:00:00.000,arbitrum,120
2022-08-01 00:00:00.000,ethereum,5536
2022-08-01 00:00:00.000,optimism,79
2022-08-01 00:00:00.000,polygon,410
2022-08-08 00:00:00.000,arbitrum,123
2022-08-08 00:00:00.000,ethereum,5382
2022-08-08 00:00:00.000,optimism,75
2022-08-08 00:00:00.000,polygon,424
2022-08-15 00:00:00.000,arbitrum,92
2022-08-15 00:00:00.000,ethereum,5295
2022-08-15 00:00:00.000,optimism,73
2022-08-15 00:00:00.000,polygon,433
2022-08-22 00:00:00.000,arbitrum,104
2022-08-22 00:00:00.000,ethereum,5270
2022-08-22 00:00:00.000,optimism,69
2022-08-22 00:00:00.000,polygon,416
2022-08-29 00:00:00.000,arbitrum,111
2022-08-29 00:00:00.000,ethereum,5006
2022-08-29 00:00:00.000,optimism,71
2022-08-29 00:00:00.000,polygon,425
2022-09-05 00:00:00.000,arbitrum,113
2022-09-05 00:00:00.000,ethereum,5384
2022-09-05 00:00:00.000,optimism,70
2022-09-05 00:00:00.000,polygon,411
2022-09-12 00:00:00.000,arbitrum,114
2022-09-12 00:00:00.000,ethereum,5296
2022-09-12 00:00:00.000,optimism,72
2022-09-12 00:00:00.000,polygon,439
2022-09-19 00:00:00.000,arbitrum,122
2022-09-19 00:00:00.000,ethereum,5523
2022-09-19 00:00:00.000,optimism,71
2022-09-19 00:00:00.000,polygon,447
2022-09-26 00:00:00.000,arbitrum,124
2022-09-26 00:00:00.000,ethereum,5710
2022-09-26 00:00:00.000,optimism,78
2022-09-26 00:00:00.000,polygon,455
2022-10-03 00:00:00.000,arbitrum,121
2022-10-03 00:00:00.000,ethereum,5753
2022-10-03 00:00:00.000,optimism,72
2022-10-03 00:00:00.000,polygon,456
2022-10-10 00:00:00.000,arbitrum,130
2022-10-10 00:00:00.000,ethereum,5397
2022-10-10 00:00:00.000,optimism,82
2022-10-10 00:00:00.000,polygon,439
2022-10-17 00:00:00.000,arbitrum,126
2022-10-17 00:00:00.000,ethereum,6132
2022-10-17 00:00:00.000,optimism,83
2022-10-17 00:00:00.000,polygon,426
2022-10-24 00:00:00.000,arbitrum,153
2022-10-24 00:00:00.000,ethereum,6678
2022-10-24 00:00:00.000,optimism,87
2022-10-24 00:00:00.000,polygon,448
2022-10-31 00:00:00.000,arbitrum,161
2022-10-31 00:00:00.000,ethereum,5979
2022-10-31 00:00:00.000,optimism,79
2022-10-31 00:00:00.000,polygon,495
2022-11-07 00:00:00.000,arbitrum,154
2022-11-07 00:00:00.000,ethereum,5080
2022-11-07 00:00:00.000,optimism,81
2022-11-07 00:00:00.000,polygon,500
2022-11-14 00:00:00.000,arbitrum,139
2022-11-14 00:00:00.000,ethereum,5512
2022-11-14 00:00:00.000,optimism,82
2022-11-14 00:00:00.000,polygon,463
2022-11-21 00:00:00.000,arbitrum,139
2022-11-21 00:00:00.000,ethereum,5584
2022-11-21 00:00:00.000,optimism,80
2022-11-21 00:00:00.000,polygon,484
2022-11-28 00:00:00.000,arbitrum,153
2022-11-28 00:00:00.000,ethereum,5590
2022-11-28 00:00:00.000,optimism,79
2022-11-28 00:00:00.000,polygon,513
2022-12-05 00:00:00.000,arbitrum,158
2022-12-05 00:00:00.000,ethereum,5463
2022-12-05 00:00:00.000,optimism,84
2022-12-05 00:00:00.000,polygon,512
2022-12-12 00:00:00.000,arbitrum,161
2022-12-12 00:00:00.000,ethereum,5484
2022-12-12 00:00:00.000,optimism,83
2022-12-12 00:00:00.000,polygon,497
2022-12-19 00:00:00.000,arbitrum,143
2022-12-19 00:00:00.000,ethereum,5507
2022-12-19 00:00:00.000,optimism,82
2022-12-19 00:00:00.000,polygon,494
2022-12-26 00:00:00.000,arbitrum,149
2022-12-26 00:00:00.000,ethereum,6091
2022-12-26 00:00:00.000,optimism,79
2022-12-26 00:00:00.000,polygon,491
2023-01-02 00:00:00.000,arbitrum,164
2023-01-02 00:00:00.000,ethereum,5865
2023-01-02 00:00:00.000,optimism,89
2023-01-02 00:00:00.000,polygon,492
2023-01-09 00:00:00.000,arbitrum,175
2023-01-09 00:00:00.000,ethereum,5780
2023-01-09 00:00:00.000,optimism,85
2023-01-09 00:00:00.000,polygon,541
2023-01-16 00:00:00.000,arbitrum,170
2023-01-16 00:00:00.000,ethereum,5662
2023-01-16 00:00:00.000,optimism,92
2023-01-16 00:00:00.000,polygon,528
2023-01-23 00:00:00.000,arbitrum,168
2023-01-23 00:00:00.000,ethereum,5665
2023-01-23 00:00:00.000,optimism,89
2023-01-23 00:00:00.000,polygon,499
2023-01-30 00:00:00.000,arbitrum,209
2023-01-30 00:00:00.000,ethereum,5680
2023-01-30 00:00:00.000,optimism,91
2023-01-30 00:00:00.000,polygon,517
2023-02-06 00:00:00.000,arbitrum,195
2023-02-06 00:00:00.000,ethereum,5531
2023-02-06 00:00:00.000,optimism,98
2023-02-06 00:00:00.000,polygon,477
2023-02-13 00:00:00.000,arbitrum,221
2023-02-13 00:00:00.000,ethereum,5292
2023-02-13 00:00:00.000,optimism,99
2023-02-13 00:00:00.000,polygon,493
2023-02-20 00:00:00.000,arbitrum,224
2023-02-20 00:00:00.000,ethereum,4975
2023-02-20 00:00:00.000,optimism,102
2023-02-20 00:00:00.000,polygon,509
2023-02-27 00:00:00.000,arbitrum,234
2023-02-27 00:00:00.000,ethereum,5255
2023-02-27 00:00:00.000,optimism,99
2023-02-27 00:00:00.000,polygon,507
2023-03-06 00:00:00.000,arbitrum,244
2023-03-06 00:00:00.000,bsc,3
2023-03-06 00:00:00.000,ethereum,5118
2023-03-06 00:00:00.000,optimism,102
2023-03-06 00:00:00.000,polygon,530
2023-03-13 00:00:00.000,arbitrum,278
2023-03-13 00:00:00.000,bsc,98
2023-03-13 00:00:00.000,ethereum,5834
2023-03-13 00:00:00.000,optimism,103
2023-03-13 00:00:00.000,polygon,534
2023-03-20 00:00:00.000,arbitrum,337
2023-03-20 00:00:00.000,bsc,117
2023-03-20 00:00:00.000,ethereum,5869
2023-03-20 00:00:00.000,optimism,103
2023-03-20 00:00:00.000,polygon,522
2023-03-27 00:00:00.000,arbitrum,340
2023-03-27 00:00:00.000,bsc,131
2023-03-27 00:00:00.000,ethereum,5576
2023-03-27 00:00:00.000,optimism,106
2023-03-27 00:00:00.000,polygon,538
2023-04-03 00:00:00.000,arbitrum,314
2023-04-03 00:00:00.000,bsc,140
2023-04-03 00:00:00.000,ethereum,5426
2023-04-03 00:00:00.000,optimism,98
2023-04-03 00:00:00.000,polygon,540
2023-04-10 00:00:00.000,arbitrum,329
2023-04-10 00:00:00.000,bsc,148
2023-04-10 00:00:00.000,ethereum,5595
2023-04-10 00:00:00.000,optimism,99
2023-04-10 00:00:00.000,polygon,539
2023-04-17 00:00:00.000,arbitrum,383
2023-04-17 00:00:00.000,bsc,165
2023-04-17 00:00:00.000,ethereum,6073
2023-04-17 00:00:00.000,optimism,103
2023-04-17 00:00:00.000,polygon,519
2023-04-24 00:00:00.000,arbitrum,410
2023-04-24 00:00:00.000,bsc,166
2023-04-24 00:00:00.000,ethereum,6711
2023-04-24 00:00:00.000,optimism,104
2023-04-24 00:00:00.000,polygon,532
2023-05-01 00:00:00.000,arbitrum,508
2023-05-01 00:00:00.000,bsc,180
2023-05-01 00:00:00.000,ethereum,6191
2023-05-01 00:00:00.000,optimism,97
2023-05-01 00:00:00.000,polygon,576
2023-05-08 00:00:00.000,arbitrum,544
2023-05-08 00:00:00.000,bsc,162
2023-05-08 00:00:00.000,ethereum,7440
2023-05-08 00:00:00.000,optimism,97
2023-05-08 00:00:00.000,polygon,627
2023-05-15 00:00:00.000,arbitrum,474
2023-05-15 00:00:00.000,bsc,147
2023-05-15 00:00:00.000,ethereum,8222
2023-05-15 00:00:00.000,optimism,101
2023-05-15 00:00:00.000,polygon,643
2023-05-22 00:00:00.000,arbitrum,445
2023-05-22 00:00:00.000,bsc,182
2023-05-22 00:00:00.000,ethereum,8163
2023-05-22 00:00:00.000,optimism,110
2023-05-22 00:00:00.000,polygon,659
2023-05-29 00:00:00.000,arbitrum,466
2023-05-29 00:00:00.000,bsc,158
2023-05-29 00:00:00.000,ethereum,8240
2023-05-29 00:00:00.000,optimism,111
2023-05-29 00:00:00.000,polygon,635
