WEEK,V2,V3
2021-06-14 00:00:00.000,4676,846
2021-06-21 00:00:00.000,4525,851
2021-06-28 00:00:00.000,4770,913
2021-07-05 00:00:00.000,4441,888
2021-07-12 00:00:00.000,3881,859
2021-07-19 00:00:00.000,3987,941
2021-07-26 00:00:00.000,3698,950
2021-08-02 00:00:00.000,3577,953
2021-08-09 00:00:00.000,3493,943
2021-08-16 00:00:00.000,3650,997
2021-08-23 00:00:00.000,3103,966
2021-08-30 00:00:00.000,2886,927
2021-09-06 00:00:00.000,3065,952
2021-09-13 00:00:00.000,3230,1000
2021-09-20 00:00:00.000,3178,976
2021-09-27 00:00:00.000,3040,969
2021-10-04 00:00:00.000,2991,978
2021-10-11 00:00:00.000,3106,966
2021-10-18 00:00:00.000,3526,1008
2021-10-25 00:00:00.000,3350,995
2021-11-01 00:00:00.000,3635,1005
2021-11-08 00:00:00.000,3821,1016
2021-11-15 00:00:00.000,3730,1030
2021-11-22 00:00:00.000,3590,1049
2021-11-29 00:00:00.000,3480,1039
2021-12-06 00:00:00.000,3879,1083
2021-12-13 00:00:00.000,3720,1073
2021-12-20 00:00:00.000,3741,1144
2021-12-27 00:00:00.000,3758,1185
2022-01-03 00:00:00.000,2937,1148
2022-01-10 00:00:00.000,2720,1153
2022-01-17 00:00:00.000,2961,1165
2022-01-24 00:00:00.000,2886,1167
2022-01-31 00:00:00.000,3211,1208
2022-02-07 00:00:00.000,3444,1261
2022-02-14 00:00:00.000,3447,1243
2022-02-21 00:00:00.000,3495,1273
2022-02-28 00:00:00.000,3738,1292
2022-03-07 00:00:00.000,4301,1336
2022-03-14 00:00:00.000,4103,1380
2022-03-21 00:00:00.000,4067,1361
2022-03-28 00:00:00.000,3900,1352
2022-04-04 00:00:00.000,4034,1372
2022-04-11 00:00:00.000,4089,1345
2022-04-18 00:00:00.000,3956,1355
2022-04-25 00:00:00.000,3671,1350
2022-05-02 00:00:00.000,3585,1327
2022-05-09 00:00:00.000,3429,1385
2022-05-16 00:00:00.000,3986,1368
2022-05-23 00:00:00.000,3750,1398
2022-05-30 00:00:00.000,3188,1286
2022-06-06 00:00:00.000,3251,1324
2022-06-13 00:00:00.000,3541,1391
2022-06-20 00:00:00.000,3494,1365
2022-06-27 00:00:00.000,3788,1397
2022-07-04 00:00:00.000,4268,1400
2022-07-11 00:00:00.000,4164,1430
2022-07-18 00:00:00.000,4883,1514
2022-07-25 00:00:00.000,4890,1507
2022-08-01 00:00:00.000,5018,1515
2022-08-08 00:00:00.000,4875,1517
2022-08-15 00:00:00.000,4757,1542
2022-08-22 00:00:00.000,4756,1484
2022-08-29 00:00:00.000,4521,1452
2022-09-05 00:00:00.000,4885,1474
2022-09-12 00:00:00.000,4781,1577
2022-09-19 00:00:00.000,4954,1601
2022-09-26 00:00:00.000,5171,1581
2022-10-03 00:00:00.000,5242,1523
2022-10-10 00:00:00.000,4900,1487
2022-10-17 00:00:00.000,5614,1509
2022-10-24 00:00:00.000,6119,1650
2022-10-31 00:00:00.000,5434,1642
2022-11-07 00:00:00.000,4537,1621
2022-11-14 00:00:00.000,4982,1599
2022-11-21 00:00:00.000,5032,1641
2022-11-28 00:00:00.000,5017,1695
2022-12-05 00:00:00.000,4925,1627
2022-12-12 00:00:00.000,4930,1626
2022-12-19 00:00:00.000,4930,1645
2022-12-26 00:00:00.000,5540,1636
2023-01-02 00:00:00.000,5312,1597
2023-01-09 00:00:00.000,5212,1695
2023-01-16 00:00:00.000,5098,1679
2023-01-23 00:00:00.000,5087,1669
2023-01-30 00:00:00.000,5087,1755
2023-02-06 00:00:00.000,4965,1693
2023-02-13 00:00:00.000,4738,1704
2023-02-20 00:00:00.000,4422,1723
2023-02-27 00:00:00.000,4656,1769
2023-03-06 00:00:00.000,4565,1720
2023-03-13 00:00:00.000,5245,1878
2023-03-20 00:00:00.000,5282,1925
2023-03-27 00:00:00.000,5001,1916
2023-04-03 00:00:00.000,4859,1902
2023-04-10 00:00:00.000,5018,1916
2023-04-17 00:00:00.000,5506,1939
2023-04-24 00:00:00.000,6164,1992
2023-05-01 00:00:00.000,5663,2079
2023-05-08 00:00:00.000,6858,2281
2023-05-15 00:00:00.000,7649,2222
2023-05-22 00:00:00.000,7359,2584
2023-05-29 00:00:00.000,7545,2389
2023-06-05 00:00:00.000,7377,2438
2023-06-12 00:00:00.000,6985,2383
2023-06-19 00:00:00.000,7255,2453
2023-06-26 00:00:00.000,7451,2381
2023-07-03 00:00:00.000,7353,2329
2023-07-10 00:00:00.000,7848,2442
2023-07-17 00:00:00.000,7413,2397
2023-07-24 00:00:00.000,7398,2352
2023-07-31 00:00:00.000,7716,2399
2023-08-07 00:00:00.000,7381,2640
2023-08-14 00:00:00.000,7331,2583
2023-08-21 00:00:00.000,7148,2476
2023-08-28 00:00:00.000,7124,2508
2023-09-04 00:00:00.000,7499,2440
2023-09-11 00:00:00.000,7507,2423
2023-09-18 00:00:00.000,7798,2472
2023-09-25 00:00:00.000,7595,2580
2023-10-02 00:00:00.000,8357,2541
2023-10-09 00:00:00.000,7671,2562
2023-10-16 00:00:00.000,7256,2602
2023-10-23 00:00:00.000,6620,2650
2023-10-30 00:00:00.000,6465,2605
2023-11-06 00:00:00.000,6080,2635
2023-11-13 00:00:00.000,6410,2665
2023-11-20 00:00:00.000,6136,2649
2023-11-27 00:00:00.000,6365,2633
2023-12-04 00:00:00.000,6273,2793
2023-12-11 00:00:00.000,5711,2650
2023-12-18 00:00:00.000,5888,2798
2023-12-25 00:00:00.000,6934,2993
2024-01-01 00:00:00.000,6452,3009
2024-01-08 00:00:00.000,5896,2981
2024-01-15 00:00:00.000,6177,3000
2024-01-22 00:00:00.000,6383,3047
2024-01-29 00:00:00.000,5951,2998
2024-02-05 00:00:00.000,5371,3590
2024-02-12 00:00:00.000,6094,3533
2024-02-19 00:00:00.000,5817,3406
2024-02-26 00:00:00.000,5454,3427
2024-03-04 00:00:00.000,5950,3689
2024-03-11 00:00:00.000,6931,3839
2024-03-18 00:00:00.000,9001,4210
2024-03-25 00:00:00.000,10723,4240
2024-04-01 00:00:00.000,12328,4642
2024-04-08 00:00:00.000,12835,4690
2024-04-15 00:00:00.000,13514,4627
2024-04-22 00:00:00.000,14004,4421
2024-04-29 00:00:00.000,13964,4398
2024-05-06 00:00:00.000,14014,4536
2024-05-13 00:00:00.000,12673,4612
2024-05-20 00:00:00.000,12292,4912
2024-05-27 00:00:00.000,12378,5147
2024-06-03 00:00:00.000,13388,5603
2024-06-10 00:00:00.000,13577,5850
2024-06-17 00:00:00.000,13976,5536
2024-06-24 00:00:00.000,14310,5088
2024-07-01 00:00:00.000,14208,4907
2024-07-08 00:00:00.000,14623,4657
2024-07-15 00:00:00.000,12878,4790
2024-07-22 00:00:00.000,13978,4693
2024-07-29 00:00:00.000,41842,4636
2024-08-05 00:00:00.000,16939,4615
2024-08-12 00:00:00.000,12149,4523
2024-08-19 00:00:00.000,12163,4584
2024-08-26 00:00:00.000,12062,4574
2024-09-02 00:00:00.000,10674,4548
2024-09-09 00:00:00.000,10996,4581
